text,label,predicted_label
"Tech Firms Keep Riding Chinese Tiger. Microsoft watched a software deal with China go bust less than two weeks into the contract. And Beijing is pushing its government IT officials to buy local. But China remains a vibrant market where tech firms have to stay in play. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-washingtonpost.com&lt;/B&gt;&lt;/FONT&gt;",Sci_Tech,World
"Glazer stake in Man Utd nears 30. US tycoon Malcolm Glazer lifts his stake in Manchester Utd to 28.11, one day after spending 17m on further share buys.",World,Sports
Intel cuts Pentium 4 prices. The newest P4 chips drop in price by 18 percent to 35 percent; a host of other chips are cheaper now as well.,Sci_Tech,Business
"AOL Is Said to Plan 700 Layoffs. America Online, the country #39;s leading Internet service, is preparing to lay off as many as 700 of its 13,000 employees in the United States, according to an executive knowledgeable about its plans.",Business,Sci_Tech
"Mexico Migrant Smugglers Turning to Sea (AP). AP - Migrant smugglers are skirting heightened security along the border by using small boats to shuttle people from the under-supervised Baja coast into Southern California marinas and harbors, already jammed with legal commercial ships and pleasure boat traffic.",World,Sci_Tech
"Bush defends tax cuts. WASHINGTON, Oct 2 (AFP) - US President George W. Bush said Saturday he would renew some of the huge tax cuts that form a cornerstone of his economic rejuvenation policy and chided Democratic challenger John Kerry for opposing the cuts.",Business,World
"PC Sales Hot For 2004, But Will Soon Cool Off. PC shipments in the second quarter grew faster than any three-month period since 1999, IDC said Monday, citing the continued pent-up demand for replacement systems as the driving force behind the sales surge.",Business,Sci_Tech
IBM #39;to sell PC business #39;. IBM is reportedly in talks to sell its personal computer business. It would mark the end of an era for the company that brought the computer into the mainstream when it began selling its desktop PC to corporations and consumers in 1981.,Business,Sci_Tech
"EU Clears Flextronics Purchase of Units (AP). AP - European Union regulators Friday cleared Singapore's Flextronics International Ltd., the world's largest contract electronics manufacturer, to acquire factories from Canada's Nortel Networks Corp.",World,Business
"AT amp;T Wireless Gets in Tune. AT amp;T Wireless (NYSE: AWE) recently debuted its mMode Music Store. Developed together with Loudeye (Nasdaq: LOUD) and Microsoft (Nasdaq: MSFT), the store allows subscribers to browse",Sci_Tech,Business
"Black Market in British Treasure Sold on EBay (Reuters). Reuters - Pieces of Britain's past, including a second-century silver ring and a 500-year-old Tudor trade weight, are among artifacts being peddled daily on the Internet to the alarm of experts at the British Museum.",World,Sci_Tech
"IBM recalls 225,000 laptop adapters. The adapters can overheat and cause damage to the circuit board, according to a safety agency. WASHINGTON: IBM will recall about 225,000 AC power adapters for several models of its laptop computer because",Sci_Tech,Business
"Guilty Plea Seen in Computer Associates Case. Steven Woghin, the former general counsel of Computer Associates, will plead guilty to criminal charges.",Business,Sci_Tech
GOP to Sue Over 573 Found Wash. Ballots (AP). AP - Republicans prepared a lawsuit Thursday to try to prevent King County from including 573 newly discovered ballots in a hand recount that could erase their gubernatorial candidate's razor-thin margin of victory.,World,Sci_Tech
"Netflix, TiVo sign VoD alliance. Netflix, the online DVD rental company, and TiVo yesterday said they will work together to deliver movies digitally down the wires, presumably specifically to the latter #39;s PVR equipment.",Business,Sci_Tech
"FCC exempts fiber-to-curb from sharing requirements. The Federal Communications Commission Thursday voted to allow incumbent telephone carriers from sharing fiber-to-the-curb deployments from competitors, prompting one incumbent to announce an accelerated fiber rollout.",Business,Sci_Tech
"Young People Practicing Unhealthy Habits. They show greatest increase in smoking, obesity and poor eating, study says HealthDayNews -- Smoking, obesity and poor eating habits increased among young people in the United States in the 1990s, a trend that may lead to higher future rates of cancer, heart disease, diabetes and lung disease as that generation ages. That warning comes from a study in the September/October issue of the American Journal of Health Promotion...",Sci_Tech,Business
"U.S. Men's Hoops Team Finally Gets a Rout. ATHENS, Greece - The Americans got a taste of what it was like in the good ol' days. They finally played an opponent they were able to beat easily, routing Angola 89-53 Monday in their final preliminary game of the Olympic men's basketball tournament...",World,Sports
Jury calls WTC attack two events. Silverstein had hoped the 11-member jury would determine that the language of the insurance policy treated the attacks as two occurrences.,Business,World
"Revenge of the Sith turning DS, PSP, GBA to the dark side. Ubisoft and LucasArts are teaming up to bring the adaptation of the third Star Wars prequel to all portables; will be released alongside the game in Spring 2005.",Sci_Tech,Sports
"ConocoPhillips boosts LUKoil stake to 10 percent (AFP). AFP - US oil major ConocoPhillips has boosted its stake in Russia's second-largest oil producer LUKoil to 10 percent, giving Conoco at least one representative on LUkoil's board.",World,Business
"Groups Offers Beer for Blood Donations (AP). AP - Some in Michigan who roll up their sleeves to donate blood will get a racetrack T-shirt, hat and pin. Sponsors in San Diego have given away whale-watching trips. On Wednesday, the Cleveland Regional Transit Authority handed out vouchers for a pint of any beverage, including beer, in exchange for a pint of blood.",Sci_Tech,Sports
"MyTravel Wins Court Approval for Creditor, Shareholder Meeting. MyTravel Plc, an unprofitable UK tour operator, got the go-ahead from a London court to meet creditors for approval of a refinancing plan after it submitted a revised version.",Business,Sci_Tech
"City Series-ly wounded. With the Yanks out of the World Series, the city #39;s economy loses out on at least $40 million, according to studies by the controller #39;s office and other city agencies.",Sports,Business
"Where have all the people gone?. While media and political attention is on the threat of outsourcing, the reality is that outsourcing is a sideshow in a much larger event.",Business,Sci_Tech
"Samsung looks to top 100m unit sales next year (FT.com). FT.com - Samsung Electronics, the world's second-largest mobile phone maker, expects its handset sales to rise 16 per cent next year to more than 100m units.",Sci_Tech,Business
"Judge: Geico can sue Google, Overture over ads. A federal judge in Virginia has ruled that a trademark infringement suit filed by the Government Employees Insurance Co. (GEICO) against Internet search giants Google Inc. and Overture Services Inc. can proceed.",Business,Sci_Tech
Job-Loss Panic Rises in Western Europe (AP). AP - Stephane Zervos first suspected his job was threatened when his bosses removed most of the heavy equipment from the car wheel factory where he'd worked for 24 years.,World,Sci_Tech
"South Korea planning huge spending to revive economy: report (AFP). AFP - The South Korean government is preparing a huge quot;New Deal quot; spending package in the next few years to revive the country's sagging economy, Yonhap news agency said.",Business,World
Amazon Snaps Up China's Largest Web Retailer (NewsFactor). NewsFactor - Amazon.com (Nasdaq: AMZN) has said it will buy Joyo.com Limited -- a British Virgin Islands company that operates the largest Internet retail Web site in China -- for US #36;75 million.,Business,Sci_Tech
"Stocks Edge Higher As Oil Prices Retreat. NEW YORK - A sharp drop in oil prices gave Wall Street a modest relief rally Monday, with stocks edging higher on news that oil production had soared during the month of September. Investors who have sold stocks for months as oil prices climbed reversed course Monday and started buying as the price of crude declined...",World,Business
"Cisco Systems 1st-Quarter Earnings Rise (Reuters). Reuters - Cisco Systems Inc., the biggest maker of equipment that directs data over the Internet, on Tuesday said quarterly earnings rose 29 percent on rising demand for its networking gear.",Business,Sci_Tech
"EU Accuses Microsoft of Paternal View. Microsoft Corp. said Friday that small companies and their customers would suffer most if it is forced to remove its digital media software from Windows, while the European Union accused it of being ""paternalistic"" in trying to decide what's best for everyone.",Sci_Tech,Business
"German Far-Right Profits from Anger Over Reforms. German far-right parties surged in eastern state elections Sunday, riding public anger against government welfare cuts and fanning fears among mainstream parties that the country #39;s image could suffer.",World,Business
#39;Poison pill #39; just in case. THE haste with which News Corporation has adopted a quot;poison pill quot; - or stockholders rights plan - following the bold move of John Malone #39;s Liberty Media to put its foot on a further 8 per cent of the voting stock demonstrates a real concern as to his,Business,Sports
"Dreams of perfect market are fine, as long as they don't come true. In these times of financial wrongdoing and subsequent systemic changes, it's only natural to wonder what a perfect investment world would look like.",Business,Sci_Tech
Software Service Aims to Outfox Caller ID. A new computerized service enables customers to create phony outbound phone numbers in order to mask their telephone identities.,Business,Sci_Tech
"Icing call. Out of money, out of patience, out of time, and for the foreseeable future, out of business.",Sports,Business
"A #39;new Greece #39; beams after success of Games. As Greeks get a boost, it remains unclear if success will mean higher stature in Europe. By Peter Ford Staff writer of The Christian Science Monitor.",Sports,Sci_Tech
Arctic team finds ship remains. A team retracing the route of a group of Victorian Arctic explorers have found parts of their 172-year-old ship.,Sci_Tech,Sports
EU foreign ministers hope to break deadlock over ASEM summit. The European Union said Friday it quot;hoped to reach a conclusion quot; at a meeting of foreign ministers on the participation of military-ruled Myanmar in an upcoming summit of Asian and European nations.,Business,World
"Sun trims fourth-quarter earnings by $12 million. Sun Microsystems Inc. trimmed its fourth quarter and full-year 2004 results this week, to account for final accounting of asset retirement obligations and its settlement with Microsoft Corp.",Sci_Tech,Business
Cellphone Industry Hits Snag as It Woos Untapped Market. The mobile phone industry is turning its attention to the last untapped demographic - people over 65.,World,Business
"India, Russia must join hands to develop new tech: Putin. Mr Vladimir V. Putin, President of the Russian Federation, Mr NR Narayana Murthy, Chief Mentor and Chairman, Infosys, and Mr Nandan Nilekani, CEO and Managing Director, at the Infosys campus in Bangalore on Sunday.",World,Business
EU transport chief hails Alitalia accord (AFP). AFP - EU transport and energy commissioner Loyola de Palacio hailed the accord reached between Alitalia management and staff on a major restructuring plan aimed at keeping the struggling airline in the air.,World,Business
"Sony Leads MGM Acquisition. Entertainment companies had been vying for MGM to get their hands on its library of more than 4,000 titles. Time Warner initially was seen as the front-runner in the race.",Business,Sci_Tech
"Bush Pledges Strong-Dollar Policy. President Bush meets with Italian Prime Minister Silvio Berlusconi in the Oval Office of the White House, Wednesday, Dec. 15, 2004, in Washington.",Business,World
"Worldwide PC Market Seen Doubling by 2010. NEW YORK (Reuters) - The number of personal computers worldwide is expected to double to about 1.3 billion by 2010, driven by explosive growth in emerging markets such as China, Russia and India, according to a report released on Tuesday by Forrester Research Inc.",Sci_Tech,Business
"Intel lauds milestone in shrinking chips. Contradicting fears that the semiconductor industry #39;s pace of development is slowing, Intel Corp has announced that it has achieved a milestone in shrinking the size of transistors that will power its next-generation chips.",Sci_Tech,Business
Old Rumors of Gay Sex Prove Powerful on Web. Va. GOP members chose Del. Thelma Drake (Norfolk) to replace Rep. Edward L. Schrock after he resigned amidst allegations Schrock indulged in or solicited gay sex.,Sci_Tech,World
"Aether Declines Higher Bid for Unit (washingtonpost.com). washingtonpost.com - Aether Systems Inc., a Maryland wireless data company that is selling off its operating units, said yesterday it received a #36;30 million offer for a division it had already agreed to sell to another buyer for #36;25 million.",Sci_Tech,Business
Web-based kidney match raises ethics questions. A Colorado man who placed a quot;transplant wanted quot; ad on a Massachusetts-based Internet site is expected today to receive a kidney donated by a total stranger who simply wanted to do quot;something big. quot; The transaction marks the first time an organ transplant has been brokered by a commercial web company.,Business,Sci_Tech
"Boeing to build cargo version of 777. NEW YORK: Boeing Co said today it will manufacture a cargo version of the twin-engine Boeing 777 commercial airliner. Due to enter service late in the fourth quarter of 2008, the Boeing 777 Freighter will",Business,Sci_Tech
Woman's death probed. Public health officials are investigating why a 38-year-old woman died two weeks after undergoing gastric bypass surgery at Saint Anne's Hospital in Fall River. The hospital has stopped offering the surgery during the state probe and an internal review.,Business,World
"MicroStrategy Turnover Draws Analyst Scrutiny. MicroStrategy Inc. said yesterday that president and chief financial officer Eric F. Brown had resigned and that founder Michael J. Saylor would again hold the company's top three jobs, prompting some analysts to raise concerns about the company's stock.",Sci_Tech,Business
"O's Still Fishing. With big fish like Richie Sexson still looking for work and prizes like Tim Hudson being dangled in the market, the Orioles remain hopeful that they can bag a big catch.",Sports,Sci_Tech
"Crude Price Spike May Send Gas Higher (AP). AP - Amid soaring crude oil prices, gasoline costs have been dropping. But don't expect that to last, economists say.",World,Business
Erdogan Believes European Council #39;s Decision Will Be A Milestone. PARIS - Turkish PM Recep Tayyip Erdogan expressed belief on Thursday that the decision that the European Council would make on December 17th (on whether and when to open negotiations with Turkey) would be a milestone for not only Turkey-(EU) relations,Business,World
"France joins Germany, Japan in economic slide (AFP). AFP - The French economy hit a rough patch in the third quarter, throwing the government's full-year growth target into question amid signs of an economic slowdown in the 12-nation eurozone.",Business,World
A wandering Congress trips over the US Constitution. That is the one-word message of advice that citizens wanted to send to members of Congress at the end of last week. Both the House of Representatives and the Senate looked as if they are having trouble seizing,Business,World
"Beijing gears up for 2008. Although the Beijing Olympics is still four years away, the Chinese capital is already gearing up to host the event. The city of over 12 million is refurbishing ancient landmarks in",Sports,World
Halo 2 scores record sales of $125 million in first 24 hours. Halo 2 broke entertainment retail records in its first 24 hours. Microsoft Game Studios said that the video game sold through 2.4 million stores in the US and Canada raking in $125 million in sales.,Business,Sci_Tech
"When Wireless Networks Merge. Now that its $41 billion takeover of AT T Wireless has been completed, Cingular will spend hundreds of millions of dollars in coming weeks on its advertising campaign.",Sci_Tech,Business
Weah returns to Liberia. Liberian legend George Weah returns to Liberia to launch his bid for the country's presidency.,World,Sports
"Hurricane Ivan Roars Toward Gulf Coast. NEW ORLEANS - Stragglers streamed toward higher ground Wednesday on highways turned into one-way evacuation routes and surf started eroding beaches as Hurricane Ivan roared toward the Gulf Coast with 140 mph wind. Nearly 200 miles wide, Ivan could cause significant damage no matter where it strikes, as hurricane-force wind extended up to 105 miles out from the center...",World,Business
"HP drops Itanium development. Hewlett-Packard Co. (HP) is getting out of the chip-making business. The Palo Alto, California, company on Thursday announced that it reached an agreement with Intel Corp.",Sci_Tech,Business
"Florida #39;s prepaid tuition program thriving. Already the biggest of its kind in the country, Florida #39;s popular prepaid-tuition program expects to count its millionth customer during a sign-up period that runs Monday through Jan. 31.",Business,Sci_Tech
"Chavez victory confirmed. Caracas, Venezuela - The results of an audit support the official vote count showing that President Hugo Chavez won this month #39;s recall referendum in Venezuela, the head of the Organization of American States said Saturday.",Business,World
"Report: E-voting problems cause loss of votes. E-voting machine problems caused more than 4,500 votes to be lost in one North Carolina county during Tuesday's general election, and gave U.S. President George Bush more than 3,800 extra votes in Ohio, according to The Associated Press.",Sci_Tech,World
Final Round in Cable-ISP Fight. The U.S. Supreme Court has agreed to hear whether cable operators must give access to their lines to third-party ISPs. Michael Grebb reports from Washington.,Sci_Tech,Business
"Adobe updates RAW plug-in with digital negative format. Adobe has updated Photoshop #39;s support for digital cameras #39; RAW image formats. The new plug-in adds to the number of camera models supported and includes a utility for converting images into the DNG, digital negative format.",Business,Sci_Tech
"Sign off, then sign in . G. Michael Caggiano Jr. lies awake at night thinking about bank signs. He ponders them during breakfast, while brushing his teeth, and quot;constantly quot; during the day, he says.",Business,Sports
"Cycling: Ulmer #39;s scorching times in secret rides. New Zealand #39;s star cyclist, Sarah Ulmer, last week rode under world record time twice in an hour during a secret training session in France.",Sports,World
"Orbitz's Michael Sands Is Named President (AP). AP - Travel-reservations Web site Orbitz Inc. Tuesday said it named its former chief marketing officer, Michael Sands, as president.",Sci_Tech,World
Amelie's final footsteps retraced. Detectives have staged a reconstruction of the final steps of murdered French student Amelie Delagrange.,World,Sports
"Tyncastle sale gets official go ahead. Of the votes received by proxy and from shareholders in the room at a stormy extraordinary general meeting last night, 62.5 were in favour of the resolution.",Sports,World
"BHP Billiton, Alcoa sell Integris Metals for 359 million pounds (AFP). AFP - Anglo-Australian mining giant BHP Billiton and Alcoa, the world's largest aluminium producer, have agreed to sell their metal services joint venture Integris Metals for 660 million dollars (359 million pounds) including debt, a joint statement said.",World,Business
